Unnamed: 0,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
,2021-01-01,Data Engineer,MI,FT,93150.0,US,US,M,0,USD,93150.0,93150.0
,2021-01-01,Research Scientist,EN,FT,60000.0,GB,GB,L,50,GBP,82528.0,60000.0
,2021-01-01,Data Analyst,EN,FT,60000.0,US,US,S,100,USD,60000.0,60000.0
,2021-01-01,Data Engineer,MI,FT,60000.0,GB,GB,L,100,GBP,82528.0,60000.0
,2021-01-01,Big Data Engineer,MI,FT,60000.0,ES,RO,M,50,USD,60000.0,60000.0
,2021-01-01,Data Scientist,MI,FT,21600.0,RS,DE,S,100,EUR,25532.0,21600.0
,2021-01-01,Data Analyst,MI,FT,135000.0,US,US,L,100,USD,135000.0,135000.0
,2021-01-01,Data Scientist,SE,FT,135000.0,US,US,L,0,USD,135000.0,135000.0
,2021-01-01,ML Engineer,MI,CT,270000.0,US,US,L,100,USD,270000.0,270000.0
,2021-01-01,Data Scientist,MI,FT,95000.0,CA,CA,L,100,CAD,75774.0,95000.0
,2021-01-01,Marketing Data Analyst,SE,FT,75000.0,GR,DK,L,100,EUR,88654.0,75000.0
,2021-01-01,Machine Learning Developer,SE,FL,60000.0,NG,NG,M,100,USD,60000.0,60000.0
,2021-01-01,Lead Data Engineer,SE,FT,75000.0,GB,GB,S,100,GBP,103160.0,75000.0
,2021-01-01,Machine Learning Engineer,MI,FT,75000.0,BE,BE,M,100,EUR,88654.0,75000.0
,2021-01-01,Data Scientist,MI,FT,75000.0,DE,DE,L,50,EUR,88654.0,75000.0
,2021-01-01,Data Science Manager,SE,FT,7000000.0,IN,IN,L,50,INR,94665.0,91000.0
,2021-01-01,Machine Learning Engineer,EN,FT,21844.0,CO,CO,M,50,USD,21844.0,21844.0
77.0,2021-01-01,BI Data Analyst,MI,FT,7956950.0,US,US,M,100,,,7956950.0
,2021-01-01,Business Data Analyst,MI,PT,56000.0,GH,US,M,100,USD,56000.0,56000.0
,2021-01-01,Data Scientist,EN,FT,42000.0,FR,FR,M,50,EUR,49646.0,42000.0
,2021-01-01,Data Scientist,MI,FT,40900.0,GB,GB,L,50,GBP,56256.0,40900.0
,2021-01-01,Data Engineer,SE,FT,150000.0,US,US,L,0,USD,150000.0,150000.0
,2021-01-01,Data Scientist,SE,FT,165000.0,US,US,L,100,USD,165000.0,165000.0
,2021-01-01,Data Architect,MI,FT,150000.0,US,US,L,100,USD,150000.0,150000.0
,2021-01-01,Data Scientist,MI,FT,150000.0,US,US,M,100,USD,150000.0,150000.0
,2021-01-01,BI Data Analyst,EX,FT,150000.0,IN,US,L,100,USD,150000.0,150000.0
,2021-01-01,Data Engineer,SE,FT,150000.0,US,US,M,100,USD,150000.0,150000.0
,2021-01-01,Data Engineer,SE,FT,153000.0,US,US,L,100,USD,153000.0,153000.0
,2021-01-01,Data Engineer,SE,FT,150000.0,US,US,L,100,USD,150000.0,150000.0
,2021-01-01,Data Engineer,SE,FT,165000.0,US,US,M,0,USD,165000.0,165000.0
,2021-01-01,Data Specialist,SE,FT,165000.0,US,US,L,100,USD,165000.0,165000.0
,2021-01-01,Principal Data Engineer,SE,FT,200000.0,US,US,M,100,USD,200000.0,200000.0
,2021-01-01,Data Engineer,MI,FT,200000.0,US,US,L,100,USD,200000.0,200000.0
,2021-01-01,Data Engineer,MI,FT,200000.0,US,US,L,100,USD,200000.0,200000.0
,2021-01-01,Principal Data Scientist,SE,FT,235000.0,US,US,L,100,USD,235000.0,235000.0
,2021-01-01,Research Scientist,MI,FT,235000.0,CA,CA,L,100,CAD,187442.0,235000.0
,2021-01-01,Head of Data,EX,FT,235000.0,US,US,L,100,USD,235000.0,235000.0
,2021-01-01,Machine Learning Engineer,MI,FT,40000.0,ES,ES,S,100,EUR,47282.0,40000.0
,2021-01-01,Data Scientist,MI,FT,39600.0,ES,ES,M,100,EUR,46809.0,39600.0
,2021-01-01,Applied Machine Learning Scientist,MI,FT,38400.0,VN,US,M,100,USD,38400.0,38400.0
,2021-01-01,Data Engineer,MI,FT,38400.0,NL,NL,L,100,EUR,45391.0,38400.0
,2021-01-01,Data Analyst,SE,FT,200000.0,US,US,L,100,USD,200000.0,200000.0
,2021-01-01,Data Engineer,SE,FT,200000.0,US,US,L,100,USD,200000.0,200000.0
,2021-01-01,Machine Learning Engineer,SE,FT,185000.0,US,US,L,50,USD,185000.0,185000.0
,2021-01-01,Staff Machine Learning Engineer,SE,FT,185000.0,US,US,M,50,USD,185000.0,185000.0
,2021-01-01,Data Science Lead,MI,FT,150000.0,US,US,M,100,USD,150000.0,150000.0
,2021-01-01,Machine Learning Engineer,MI,FT,43200.0,IT,IT,L,50,EUR,51064.0,43200.0
,2021-01-01,Data Analyst,SE,FT,50000.0,PH,PH,S,100,USD,50000.0,50000.0
,2021-01-01,Data Scientist,SE,FT,110000.0,CA,CA,S,100,CAD,87738.0,110000.0
,2021-01-01,Data Engineer,MI,FT,110000.0,US,US,L,100,USD,110000.0,110000.0
,2021-01-01,Head of Data Science,MI,FT,110000.0,US,US,S,0,USD,110000.0,110000.0
,2021-01-01,Data Engineer,SE,FT,82500.0,GB,GB,M,100,GBP,113476.0,82500.0
,2021-01-01,Data Scientist,MI,FT,82500.0,US,US,S,100,USD,82500.0,82500.0
,2021-01-01,Data Analytics Engineer,MI,FT,110000.0,US,US,L,100,USD,110000.0,110000.0
,2021-01-01,Autonomous Vehicle Technician,MI,FL,45555.0,AS,BS,M,50,USD,45555.0,45555.0
,2021-01-01,Data Engineer,MI,FT,110000.0,PL,PL,L,100,PLN,28476.0,110000.0
,2021-01-01,Data Scientist,MI,FT,109000.0,US,US,L,50,USD,109000.0,109000.0
,2021-01-01,Director of Data Science,EX,FT,110000.0,DE,DE,M,50,EUR,130026.0,110000.0
,2021-01-01,Data Analytics Manager,SE,FT,140000.0,US,US,L,100,USD,140000.0,140000.0
